src_region,src_tier,dst_region,dst_tier,throughput_sent_bits_per_second,throughput_received_bits_per_second,cpu_utilization_percent
gcp:asia-northeast3-a,STANDARD,gcp:europe-west1-b,STANDARD,5238477000,4095335000,23.219272
aws:eu-north-1,PREMIUM,azure:australiaeast,PREMIUM,4843538949,2389467508,4.381418757
gcp:asia-southeast2-a,STANDARD,aws:af-south-1,PREMIUM,3536775000,2168236000,16.936346
aws:us-east-1,PREMIUM,gcp:us-east4-a,STANDARD,4866216541,4779782864,13.11135729
gcp:northamerica-northeast2-a,PREMIUM,gcp:northamerica-northeast1-a,PREMIUM,7158308000,7058698000,90.80474
azure:uksouth,PREMIUM,azure:francecentral,PREMIUM,16926770706,15612033077,24.67165189
azure:eastus,PREMIUM,aws:ca-central-1,PREMIUM,9042152943,8772279969,14.31065956
gcp:asia-northeast2-a,PREMIUM,aws:ap-northeast-3,PREMIUM,7129274000,7097990000,97.104755
azure:germanywestcentral,PREMIUM,aws:eu-west-1,PREMIUM,9688460428,9228508302,13.6823737
gcp:europe-west6-a,PREMIUM,gcp:europe-west4-a,STANDARD,7133893000,6983635000,85.064318
gcp:europe-central2-a,PREMIUM,gcp:europe-west2-a,STANDARD,5663503000,5449218000,72.812083
aws:eu-north-1,PREMIUM,aws:eu-west-3,PREMIUM,5030290000,4627650049,7.556614816
gcp:us-central1-a,PREMIUM,aws:us-west-1,PREMIUM,6547898000,6045516000,60.227399
gcp:asia-east2-a,PREMIUM,gcp:asia-northeast3-a,PREMIUM,6217791000,6148239000,59.860187
azure:eastus2,PREMIUM,gcp:europe-west4-a,PREMIUM,3875942035,3348246136,5.380125775
gcp:us-east1-b,STANDARD,gcp:europe-north1-a,STANDARD,5699172000,4989164000,39.65372
gcp:us-east1-b,PREMIUM,gcp:southamerica-east1-a,STANDARD,6286427000,5246075000,38.94141
gcp:us-west1-a,STANDARD,gcp:europe-west2-a,PREMIUM,7305041000,5075773000,37.0888
gcp:asia-south1-a,STANDARD,aws:ap-northeast-1,PREMIUM,6187321000,5586180000,37.029607
azure:australiaeast,PREMIUM,azure:koreacentral,PREMIUM,15532592776,11757321408,11.2864683
azure:westus3,PREMIUM,aws:eu-south-1,PREMIUM,5543226213,4117233368,5.888360959
gcp:asia-east1-a,PREMIUM,azure:westus2,PREMIUM,5321567000,4936021000,34.623694
aws:us-east-2,PREMIUM,gcp:asia-northeast1-a,PREMIUM,5296978153,3735850544,4.880016653
gcp:us-west4-a,STANDARD,gcp:europe-west6-a,STANDARD,5767099000,4842078000,32.974049
azure:japaneast,PREMIUM,gcp:us-central1-a,STANDARD,3994730248,3346265392,5.019621335
gcp:us-east4-a,PREMIUM,aws:ap-northeast-2,PREMIUM,6328667000,4939053000,29.667269
azure:germanywestcentral,PREMIUM,gcp:asia-southeast1-a,PREMIUM,6369275130,5115016291,5.911069497
aws:ap-southeast-1,PREMIUM,gcp:us-west4-a,PREMIUM,4856050821,3570344882,5.152069328
aws:me-south-1,PREMIUM,gcp:australia-southeast1-a,PREMIUM,5235919099,3468275661,4.756201146
gcp:europe-west1-b,STANDARD,aws:us-west-2,PREMIUM,4445249000,4286479000,27.554564
aws:ap-east-1,PREMIUM,azure:westeurope,PREMIUM,5184116042,3237033969,4.918816358
gcp:northamerica-northeast1-a,STANDARD,gcp:asia-southeast1-a,STANDARD,6525529000,4623822000,25.926058
gcp:southamerica-west1-a,PREMIUM,gcp:europe-west3-a,PREMIUM,5441496000,4699250000,26.327057
gcp:asia-southeast2-a,STANDARD,aws:eu-west-2,PREMIUM,4682067000,4189703000,27.104119
aws:eu-central-1,PREMIUM,gcp:asia-southeast2-a,PREMIUM,5327303076,3189034733,4.747057627
gcp:asia-east2-a,STANDARD,azure:westus,PREMIUM,5229356000,3932893000,26.634205
aws:ap-south-1,PREMIUM,azure:canadacentral,PREMIUM,5022335417,2958313023,4.069563219
aws:af-south-1,PREMIUM,gcp:asia-south1-a,PREMIUM,5219340394,3116969553,4.299330005
azure:northeurope,PREMIUM,gcp:asia-northeast3-a,STANDARD,3328504605,2291775606,4.118291113
gcp:asia-east1-a,STANDARD,azure:northcentralus,PREMIUM,4298069000,3576696000,24.076812
gcp:asia-south2-a,PREMIUM,gcp:us-west1-a,PREMIUM,8145319000,4115084000,24.165188
gcp:europe-north1-a,PREMIUM,gcp:asia-northeast1-a,STANDARD,7861563000,3584704000,23.223913
gcp:europe-west1-b,PREMIUM,gcp:australia-southeast1-a,STANDARD,6719192000,3562470000,21.8775
gcp:europe-west3-a,STANDARD,gcp:australia-southeast2-a,PREMIUM,6595686000,3673887000,20.780917
gcp:southamerica-east1-a,PREMIUM,aws:ap-southeast-2,PREMIUM,3877348000,2487412000,20.083003
aws:us-east-2,PREMIUM,aws:us-east-1,PREMIUM,4940373940,4734485470,8.704179825
gcp:us-east4-a,STANDARD,aws:ca-central-1,PREMIUM,7039539000,6965529000,83.513795
gcp:us-east1-b,PREMIUM,gcp:us-east4-a,PREMIUM,7123428000,7021003000,86.470119
aws:us-west-1,PREMIUM,gcp:us-west4-a,STANDARD,5041774561,4728330509,7.935244283
azure:germanywestcentral,PREMIUM,gcp:europe-west4-a,STANDARD,15900115053,15401647030,22.57404606
gcp:europe-west6-a,STANDARD,aws:eu-south-1,PREMIUM,7107566000,7048208000,93.409402
gcp:us-west1-a,STANDARD,aws:us-west-2,PREMIUM,6966798000,6889529000,84.309093
gcp:europe-west6-a,PREMIUM,gcp:europe-west4-a,PREMIUM,7207584000,6990443000,85.174783
gcp:europe-north1-a,PREMIUM,aws:eu-north-1,PREMIUM,7102707000,7018790000,86.281777
azure:canadacentral,PREMIUM,gcp:us-central1-a,PREMIUM,15099540618,14540073097,18.43794158
gcp:europe-north1-a,STANDARD,gcp:europe-west1-b,STANDARD,6599279000,6450036000,69.252419
aws:ap-northeast-2,PREMIUM,gcp:asia-northeast1-a,STANDARD,5041796971,4638700954,7.986480431
gcp:asia-east1-a,STANDARD,gcp:asia-northeast3-a,STANDARD,6138800000,6040731000,66.394388
gcp:us-east1-b,STANDARD,gcp:us-west1-a,PREMIUM,6641592000,6291430000,54.031203
azure:koreacentral,PREMIUM,gcp:asia-east2-a,PREMIUM,12738344080,11968085848,14.26785083
